#,Year,Title,Authors,Journal,Journal data,DOI
1,2026,The removal of Zn from complex circumneutral pH mine waters using magnetic nanoparticles (MNPs),"Katie E. B. O'Neill, Jagannath Biswakarma, Rich Crane, James M. Byrne",Environmental Science: Nano,,https://doi.org/10.1039/D5EN01049G
2,2025,Current Practices for Analyzing Soils and Sediments via Mössbauer Spectroscopy,"Aaron Thompson, James M. Byrne, Carolin L. Dreher, Andrew R. C. Grigg, Prachi Joshi, Drew E. Latta, Anke Neumann, Luiza Notini, Katie E. B. O'Neill, Katherine A. Rothwell",Journal of Plant Nutrition and Soil Science,,https://doi.org/10.1002/jpln.12024
3,2025,MinSight – a new concept for fitting and interpreting Mössbauer spectroscopy data,James Byrne,,,https://doi.org/10.31219/osf.io/kcrjn_v1
4,2025,Cryptic iron cycling influenced by organic carbon availability in a seasonally stratified lake,"Verena Nikeleit, Markus Maisch, Daniel Straub, Sümeyya Eroglu, Jimena c Lopez-Rivoldi, Harald Strauss, Fin Ring-Hrubesh, James m Byrne, Andreas Kappler, Casey Bryce",FEMS Microbiology Ecology,,https://doi.org/10.1093/femsec/fiaf029
5,2025,Isotopic Exchange between Aqueous Fe(II) and Solid Fe(III) in Lake Sediment─A Kinetic Assemblage Approach,"David W. O’Connell, Catherine Mccammon, James M. Byrne, Marlene Mark Jensen, Bo Thamdrup, Hans Christian Bruun Hansen, Dieke Postma, Rasmus Jakobsen",Environmental Science & Technology,,https://doi.org/10.1021/acs.est.4c07369
6,2025,Oxidation of Fe(II) carbonate (siderite) by anoxygenic phototrophic Fe(II)-oxidising bacteria,"Markus Maisch, Verena Nikeleit, Ulf Lüder, Casey Bryce, Andreas Kappler, James M. Byrne",Geo-Bio Interfaces,,https://doi.org/10.1180/gbi.2025.4
7,2025,"Recovery of Co(ii), Ni(ii) and Zn(ii) using magnetic nanoparticles (MNPs) at circumneutral pH","Katie E. B. O'Neill, Jagannath Biswakarma, Rich Crane, James M. Byrne",Environmental Science: Nano,,https://doi.org/10.1039/D4EN01176G
8,2025,MinSight – a new concept for fitting and interpreting Mössbauer spectroscopy data,James M. Byrne,Interactions,,https://doi.org/10.1007/s10751-025-02331-7
9,2025,The Role of Microorganisms in Shaping Earth's Magnetic History,"Estella A. Atekwana, Joshua M. Feinberg, James M. Byrne",Annual Review of Earth and Planetary Sciences,,https://doi.org/10.1146/annurev-earth-040523-024053
10,2024,Redox Dynamic Interactions of Arsenic(III) with Green Rust Sulfate in the Presence of Citrate,"Jagannath Biswakarma, Molly Matthews, James M. Byrne",Environmental Science & Technology Letters,,https://doi.org/10.1021/acs.estlett.4c00700
11,2024,Changing Cr-Retention Capacity of Magnetite-Coated Sand Captured by Spectral Induced Polarization (SIP),"Ali Rahmani, Marc Franz, Frederik Bär, Claudia Backes, James M. Byrne, Adrian Mellage",ACS ES&T Water,,https://doi.org/10.1021/acsestwater.3c00824
